profile=70dcce9be1384aa69272366a9396d51a  run=366d6189cc914ee9b410ee1b7007bc3f

stage=awaiting_user_decision  results=20  pages=96 (failed 14)  claims=414

University                         Elig       Fit              Funding                             Gap  Score
--------------------------------------------------------------------------------------------------------------------------
University of Groningen            PENDING    STRONGER_FIT     FULL_RIDE_CONFIRMED           1,848 USD  0.79
KU Leuven                          MET        STRONGER_FIT     FULL_TUITION                  7,554 USD  0.78
University of Tokyo                MET        STRONGER_FIT     FULL_TUITION                  1,986 USD  0.70
University of Toronto              MET        STRONGER_FIT     FULL_RIDE_CONFIRMED      not computable  0.69
McGill University                  NEEDS_OFF  INSUFFICIENT_DA  UNKNOWN                  not computable  0.50
University of Amsterdam            NEEDS_OFF  INSUFFICIENT_DA  UNKNOWN                  not computable  0.50
Eindhoven University of Technolog  NEEDS_OFF  INSUFFICIENT_DA  UNKNOWN                  not computable  0.50
University of Vienna               MET        STRONGER_FIT     UNKNOWN                  not computable  0.49
National University of Singapore   MET        STRONGER_FIT     NEED_BASED_POSSIBLE      not computable  0.43
Aalto University                   MET        STRONGER_FIT     FULL_TUITION                 11,859 USD  0.41
University of British Columbia     MET        STRONGER_FIT     FULL_TUITION                 21,471 USD  0.40
University of Oslo                 NEEDS_OFF  INSUFFICIENT_DA  UNKNOWN                  not computable  0.37
Arizona State University           PENDING    PLAUSIBLE_FIT    FULL_TUITION                 19,400 USD  0.30
Technical University of Munich     PENDING    STRONGER_FIT     PARTIAL                      18,663 USD  0.28
University of Edinburgh            NEEDS_OFF  INSUFFICIENT_DA  UNKNOWN                  not computable  0.26
Trinity College Dublin             MET        STRONGER_FIT     PARTIAL                      41,793 USD  0.25
University of Warsaw               MET        STRONGER_FIT     PARTIAL                       9,239 USD  0.25
Delft University of Technology     GAP        AMBITIOUS        FULL_RIDE_CONFIRMED           2,446 USD  0.00
University of Melbourne            GAP        AMBITIOUS        PARTIAL                      46,267 USD  0.00
EPFL                               GAP        AMBITIOUS        FULL_TUITION                  8,386 USD  0.00
